Incident_ID,Created_At,Country,Stream,Severity,Business_Impact,Status,Aging_Hours,Escalated,Escalation_Level,Recovery_Time_Hours,Recurrence,Hypercare_Phase,War_Room,Decision_Cycle_Min,Cross_Team_Dependency,Executive_Visibility,Rollback_Readiness,HSI,ORE,SV,SFI,CCE,RRS
INC940001,2026-04-03 08:00:00,Canada,FI,Sev4,Low,Monitoring,9,No,None,14,No,Week 4,North America War Room,99,Low,Low,73,58,40,-12,51,59,70
INC940002,2026-04-20 08:00:00,Argentina,Basis,Sev4,Low,Resolved,5,No,None,32,No,Week 3,North America War Room,20,Low,High,87,60,20,14,58,83,97
INC940003,2026-04-26 03:00:00,Argentina,TM,Sev2,High,Monitoring,33,No,None,35,Yes,Week 2,North America War Room,106,Low,Medium,62,90,17,14,71,56,74
INC940004,2026-04-03 10:00:00,Canada,Basis,Sev4,Medium,Monitoring,11,Yes,L2,22,No,Week 2,North America War Room,102,Medium,Low,96,92,39,13,52,78,82
INC940005,2026-04-17 05:00:00,Brazil,MDG,Sev2,Critical,Monitoring,5,No,None,27,Yes,Week 2,LATAM Command Center,72,High,Low,74,91,52,-8,73,98,67
INC940006,2026-04-20 16:00:00,Mexico,ABAP,Sev1,Critical,Monitoring,25,Yes,L3,28,Yes,Week 1,Global Hypercare Hub,85,High,High,96,95,71,17,51,95,76
INC940007,2026-04-16 15:00:00,Mexico,MDG,Sev3,High,Resolved,10,No,None,13,No,Week 1,North America War Room,38,Low,Medium,73,96,64,15,80,62,89
INC940008,2026-04-09 09:00:00,USA,FI,Sev3,High,Open,22,No,None,27,No,Week 2,North America War Room,87,Low,Medium,85,69,31,-10,51,68,83
INC940009,2026-04-15 11:00:00,Canada,TM,Sev2,High,In Progress,46,Yes,L1,33,No,Week 3,LATAM Command Center,19,Medium,High,78,88,47,13,85,60,65
INC940010,2026-04-16 00:00:00,USA,TM,Sev1,Critical,Resolved,66,Yes,L1,14,No,Week 3,LATAM Command Center,69,Low,Medium,65,86,15,-9,71,60,80
INC940011,2026-04-26 16:00:00,Canada,CO,Sev4,Low,Resolved,5,No,None,9,Yes,Week 4,North America War Room,97,High,Medium,70,70,45,8,66,62,84
INC940012,2026-04-28 20:00:00,Brazil,MDG,Sev2,High,Resolved,12,No,None,15,No,Week 1,North America War Room,84,Low,High,64,89,63,13,83,73,80
INC940013,2026-04-03 12:00:00,Chile,SD,Sev2,Critical,In Progress,46,Yes,L1,23,Yes,Week 1,North America War Room,96,Low,Medium,88,70,30,0,84,71,80
INC940014,2026-04-06 12:00:00,Mexico,MDG,Sev2,High,In Progress,25,Yes,L2,2,No,Week 4,North America War Room,53,Low,Medium,76,65,60,-3,93,71,81
INC940015,2026-04-22 23:00:00,Argentina,FI,Sev4,Medium,Monitoring,8,Yes,L1,12,Yes,Week 4,LATAM Command Center,56,Medium,Low,89,91,57,7,83,77,90
INC940016,2026-04-04 02:00:00,Mexico,Basis,Sev3,High,In Progress,23,No,None,2,No,Week 3,LATAM Command Center,79,High,High,81,75,61,5,85,59,98
INC940017,2026-04-16 01:00:00,Argentina,ABAP,Sev1,Critical,Resolved,22,Yes,L3,24,No,Week 4,Global Hypercare Hub,39,Medium,Low,98,89,44,-10,91,78,73
INC940018,2026-04-06 00:00:00,Colombia,TM,Sev3,Medium,Open,3,No,None,35,Yes,Week 4,LATAM Command Center,39,High,High,87,84,53,4,67,81,74
INC940019,2026-04-17 06:00:00,Argentina,Basis,Sev3,Medium,Resolved,2,Yes,L1,34,Yes,Week 2,North America War Room,86,High,Low,63,65,17,6,76,75,96
INC940020,2026-04-19 16:00:00,Peru,SD,Sev2,High,Resolved,34,Yes,L3,17,No,Week 4,LATAM Command Center,114,High,High,88,63,26,18,67,98,69
INC940021,2026-04-06 15:00:00,Peru,SD,Sev3,High,Resolved,9,No,None,32,Yes,Week 4,LATAM Command Center,24,Low,Medium,77,60,65,-2,48,94,89
INC940022,2026-04-23 05:00:00,Canada,MDG,Sev2,Critical,Resolved,13,No,None,6,No,Week 1,North America War Room,72,Low,High,61,71,51,6,63,75,73
INC940023,2026-04-11 22:00:00,Colombia,MDG,Sev4,Medium,Monitoring,1,Yes,L1,21,No,Week 3,Global Hypercare Hub,77,Low,High,89,79,18,4,51,71,89
INC940024,2026-04-30 02:00:00,Colombia,MM,Sev3,Medium,Resolved,3,No,None,22,No,Week 3,Global Hypercare Hub,73,Medium,High,63,76,32,-4,64,66,77
INC940025,2026-04-20 15:00:00,Chile,Basis,Sev4,Medium,Resolved,3,No,None,29,Yes,Week 1,LATAM Command Center,71,Low,Low,70,70,33,5,66,79,93
INC940026,2026-04-24 06:00:00,Colombia,Basis,Sev3,High,Resolved,13,Yes,L2,13,No,Week 3,Global Hypercare Hub,101,Low,High,89,96,54,2,92,57,66
INC940027,2026-04-22 01:00:00,Argentina,TM,Sev2,High,Open,26,No,None,36,No,Week 4,LATAM Command Center,103,Low,High,79,96,51,3,81,73,69
INC940028,2026-04-25 05:00:00,Canada,FI,Sev2,High,Monitoring,35,No,None,27,Yes,Week 1,LATAM Command Center,78,High,Medium,72,71,49,-1,58,85,74
INC940029,2026-04-22 04:00:00,Colombia,FI,Sev3,Medium,Open,18,Yes,L2,35,Yes,Week 2,Global Hypercare Hub,118,Medium,Low,63,89,63,3,76,85,78
INC940030,2026-04-15 10:00:00,Canada,SD,Sev2,Critical,Resolved,17,No,None,2,Yes,Week 2,LATAM Command Center,68,Low,Medium,83,76,67,5,57,87,67
INC940031,2026-04-30 00:00:00,USA,SD,Sev3,High,Open,5,No,None,13,No,Week 1,LATAM Command Center,30,Low,Low,61,58,25,-8,48,58,97
INC940032,2026-04-25 11:00:00,Argentina,SD,Sev2,High,In Progress,43,Yes,L1,25,No,Week 4,North America War Room,91,High,Medium,77,87,26,9,71,55,65
INC940033,2026-04-07 13:00:00,Brazil,TM,Sev4,Low,Monitoring,6,Yes,L3,31,No,Week 3,Global Hypercare Hub,47,Medium,High,83,88,70,14,82,70,75
INC940034,2026-04-30 03:00:00,Canada,CO,Sev3,High,Monitoring,18,No,None,2,Yes,Week 2,North America War Room,59,Low,Medium,75,67,56,15,65,62,64
INC940035,2026-04-10 15:00:00,Argentina,MDG,Sev2,High,Resolved,18,Yes,L3,21,No,Week 1,Global Hypercare Hub,88,High,Medium,89,93,72,-5,90,87,79
INC940036,2026-04-01 19:00:00,Peru,FI,Sev1,Critical,Resolved,62,No,None,30,Yes,Week 3,LATAM Command Center,94,High,High,63,65,45,15,49,66,73
INC940037,2026-04-20 01:00:00,Colombia,Basis,Sev3,High,Resolved,18,No,None,23,No,Week 3,LATAM Command Center,75,Low,High,74,67,41,15,82,62,62
INC940038,2026-04-06 09:00:00,Mexico,SD,Sev2,High,In Progress,41,Yes,L3,24,Yes,Week 2,North America War Room,83,Low,High,93,95,18,11,56,83,75
INC940039,2026-04-10 00:00:00,USA,TM,Sev2,Critical,In Progress,36,No,None,6,No,Week 1,Global Hypercare Hub,115,High,Medium,72,60,59,13,65,82,75
INC940040,2026-04-19 17:00:00,Chile,CO,Sev4,Low,In Progress,10,Yes,L1,35,No,Week 3,North America War Room,67,Low,Medium,71,79,59,-8,75,67,95
INC940041,2026-04-03 18:00:00,Colombia,MDG,Sev3,Medium,Open,14,Yes,L1,28,No,Week 2,Global Hypercare Hub,83,Low,High,73,76,51,-11,72,96,65
INC940042,2026-04-24 04:00:00,Argentina,SD,Sev4,Medium,Monitoring,4,No,None,21,Yes,Week 2,LATAM Command Center,10,Low,High,76,69,55,-4,80,56,77
INC940043,2026-04-22 21:00:00,Canada,TM,Sev4,Medium,Monitoring,4,Yes,L1,15,No,Week 1,LATAM Command Center,31,High,Low,65,80,48,-1,83,95,93
INC940044,2026-04-23 02:00:00,Peru,FI,Sev4,Medium,Open,8,No,None,36,Yes,Week 2,LATAM Command Center,92,High,High,91,89,22,-1,64,85,80
INC940045,2026-04-15 12:00:00,Colombia,TM,Sev1,Critical,Open,29,Yes,L2,31,Yes,Week 4,LATAM Command Center,90,High,Medium,68,89,41,2,73,73,95
INC940046,2026-04-18 04:00:00,USA,ABAP,Sev2,Critical,Open,36,Yes,L2,3,No,Week 2,LATAM Command Center,22,Low,High,74,60,28,10,79,65,64
INC940047,2026-04-14 22:00:00,Colombia,TM,Sev2,High,Monitoring,28,No,None,11,No,Week 1,Global Hypercare Hub,63,Medium,High,99,90,69,-12,92,79,82
INC940048,2026-04-23 21:00:00,Peru,MDG,Sev4,Low,Monitoring,12,Yes,L1,5,Yes,Week 3,Global Hypercare Hub,23,High,Medium,97,79,18,-9,57,79,97
INC940049,2026-04-15 13:00:00,Canada,SD,Sev3,Medium,In Progress,23,Yes,L2,10,No,Week 1,North America War Room,113,Low,High,60,87,20,-12,48,68,69
INC940050,2026-04-01 08:00:00,Chile,CO,Sev4,Low,Open,11,Yes,L2,11,Yes,Week 1,North America War Room,55,High,High,92,84,19,-11,88,68,83
INC940051,2026-04-14 15:00:00,Chile,SD,Sev3,Medium,Open,19,Yes,L1,1,Yes,Week 2,Global Hypercare Hub,19,Medium,High,75,79,39,-8,85,91,99
INC940052,2026-04-03 07:00:00,Chile,FI,Sev3,High,Resolved,18,No,None,3,Yes,Week 3,Global Hypercare Hub,86,High,Low,75,83,22,15,79,78,72
INC940053,2026-04-20 19:00:00,USA,TM,Sev3,Medium,Monitoring,11,No,None,4,Yes,Week 3,LATAM Command Center,10,Medium,Medium,89,59,44,6,59,89,78
INC940054,2026-04-12 02:00:00,Argentina,ABAP,Sev2,High,Monitoring,21,No,None,7,Yes,Week 4,LATAM Command Center,31,Low,High,89,84,37,-1,56,85,65
INC940055,2026-04-13 08:00:00,Argentina,FI,Sev2,Critical,Open,36,Yes,L1,23,Yes,Week 1,LATAM Command Center,92,Medium,Medium,86,59,59,-8,80,72,97
INC940056,2026-04-07 07:00:00,Colombia,ABAP,Sev3,High,Resolved,17,No,None,30,Yes,Week 4,LATAM Command Center,24,Medium,Medium,87,58,67,18,87,56,89
INC940057,2026-04-19 12:00:00,Peru,TM,Sev3,High,Resolved,19,No,None,34,No,Week 2,North America War Room,24,Low,High,98,81,59,10,49,69,67
INC940058,2026-04-22 20:00:00,Brazil,MDG,Sev3,Medium,Monitoring,12,Yes,L2,23,No,Week 3,Global Hypercare Hub,65,Low,Medium,73,90,33,6,89,66,94
INC940059,2026-04-18 18:00:00,Mexico,Basis,Sev2,Critical,Open,26,No,None,6,No,Week 2,Global Hypercare Hub,73,Medium,Medium,77,77,56,18,63,74,84
INC940060,2026-04-10 23:00:00,Colombia,SD,Sev1,Critical,In Progress,66,Yes,L2,25,No,Week 2,North America War Room,107,High,Low,67,80,43,5,84,91,77
INC940061,2026-04-05 17:00:00,Canada,MDG,Sev4,Medium,Monitoring,3,No,None,21,Yes,Week 3,Global Hypercare Hub,22,High,Medium,91,77,42,-9,83,64,66
INC940062,2026-04-11 22:00:00,Brazil,SD,Sev4,Medium,Monitoring,5,No,None,30,Yes,Week 2,LATAM Command Center,96,Medium,Low,71,86,60,4,76,58,78
INC940063,2026-04-03 21:00:00,Peru,CO,Sev1,Critical,In Progress,52,Yes,L1,27,Yes,Week 1,LATAM Command Center,65,Medium,Low,62,60,58,11,74,95,86
INC940064,2026-04-18 07:00:00,USA,Basis,Sev3,High,Resolved,6,Yes,L3,22,No,Week 4,North America War Room,11,High,High,85,72,39,1,88,84,86
INC940065,2026-04-29 20:00:00,USA,CO,Sev3,Medium,Monitoring,24,No,None,3,No,Week 2,LATAM Command Center,110,Medium,High,80,86,65,7,60,57,66
INC940066,2026-04-14 02:00:00,Mexico,Basis,Sev2,High,Monitoring,48,Yes,L2,31,No,Week 2,Global Hypercare Hub,31,Medium,Low,73,79,42,9,84,62,90
INC940067,2026-04-17 10:00:00,Chile,MM,Sev3,Medium,In Progress,2,Yes,L2,6,No,Week 1,LATAM Command Center,27,Low,High,85,63,45,-5,71,59,60
INC940068,2026-04-05 03:00:00,Canada,MDG,Sev4,Medium,In Progress,3,No,None,24,No,Week 4,North America War Room,74,Low,High,63,65,31,1,89,94,79
INC940069,2026-04-05 11:00:00,Peru,SD,Sev4,Medium,Resolved,9,No,None,17,No,Week 4,North America War Room,96,Low,Medium,98,75,56,2,86,75,89
INC940070,2026-04-25 20:00:00,Argentina,Basis,Sev3,Medium,Resolved,10,No,None,18,No,Week 1,LATAM Command Center,105,Low,Low,67,64,33,-10,78,82,61
INC940071,2026-04-08 19:00:00,Canada,TM,Sev3,High,Resolved,22,Yes,L2,27,No,Week 3,North America War Room,97,High,High,95,84,38,7,71,73,90
INC940072,2026-04-01 05:00:00,Chile,ABAP,Sev4,Medium,In Progress,10,Yes,L1,22,Yes,Week 3,Global Hypercare Hub,90,Low,Medium,98,84,67,6,73,96,78
INC940073,2026-04-14 21:00:00,Colombia,CO,Sev3,High,In Progress,14,Yes,L3,12,No,Week 1,LATAM Command Center,46,High,Low,84,87,41,3,88,84,61
INC940074,2026-04-20 02:00:00,Mexico,Basis,Sev1,Critical,In Progress,23,No,None,13,Yes,Week 3,North America War Room,58,Medium,Medium,98,84,25,11,85,90,61
INC940075,2026-04-10 12:00:00,Colombia,ABAP,Sev3,Medium,Monitoring,9,No,None,34,No,Week 3,LATAM Command Center,69,Medium,Medium,83,92,72,9,87,94,65
INC940076,2026-04-03 02:00:00,Argentina,SD,Sev3,Medium,Monitoring,20,No,None,35,Yes,Week 4,LATAM Command Center,56,Low,High,90,74,36,0,71,77,98
INC940077,2026-04-14 01:00:00,Colombia,FI,Sev4,Low,Resolved,11,No,None,10,Yes,Week 4,LATAM Command Center,80,Medium,Medium,64,63,17,16,53,70,81
INC940078,2026-04-06 00:00:00,Mexico,Basis,Sev2,High,In Progress,23,Yes,L1,36,Yes,Week 3,North America War Room,22,High,Medium,94,64,65,10,95,64,89
INC940079,2026-04-16 00:00:00,Mexico,Basis,Sev4,Low,In Progress,4,Yes,L1,11,No,Week 3,LATAM Command Center,110,High,Medium,80,62,45,-8,61,72,92
INC940080,2026-04-26 11:00:00,USA,MDG,Sev4,Medium,Resolved,8,Yes,L2,30,No,Week 4,North America War Room,81,High,Low,70,67,21,-8,88,72,87
INC940081,2026-04-13 07:00:00,Colombia,ABAP,Sev4,Low,In Progress,5,No,None,15,No,Week 4,North America War Room,37,Medium,High,94,79,55,13,86,84,69
INC940082,2026-04-11 23:00:00,Mexico,MM,Sev2,Critical,Open,27,Yes,L1,34,Yes,Week 3,LATAM Command Center,67,Low,Medium,80,88,23,0,94,79,60
